myscatsid,myordernum,经度,纬度,路口ID
329,71,121.4426488,31.19350683,71
341,70,121.4478865,31.19639359,70
343,69,121.4512215,31.19773751,69
344,68,121.4539436,31.1987959,68
345,67,121.4573548,31.20009032,67
325,63,121.444305,31.19037156,63
324,64,121.4503023,31.19269272,64
1322,65,121.4531141,31.19378507,65
323,8827,121.4563164,31.19497015,179
7313,66,121.4591385,31.19605109,66
1330,8826,121.4578422,31.19822973,178
321,22,121.4604235,31.19392386,22
320,21,121.4580764,31.19217923,21
2394,20,121.4556322,31.19070016,20
319,8828,121.4541474,31.18981215,180
318,19,121.4518231,31.18882991,19
390,8824,121.4505817,31.18849342,176
317,18,121.4461072,31.18710622,18
383,58,121.4483486,31.18414617,58
7323,8823,121.4500571,31.18540729,175
2395,57,121.4528601,31.18701105,57
2396,8825,121.4551396,31.18791524,177
2397,56,121.4568243,31.18855769,56
7394,59,121.4497167,31.18240664,59
7319,8821,121.4519797,31.18415093,173
7318,8820,121.4542449,31.1858927,172
2381,43,121.4585851,31.18636859,43
2370,44,121.4589346,31.18325131,44
1313,11,121.4141457,31.14927833,11
1314,10,121.4194376,31.15426093,10
1394,8822,121.4216515,31.15633391,174
1315,9,121.4246286,31.15923114,9
7373,109,121.4228745,31.16064708,109
7374,8818,121.4208996,31.15910995,170
1375,95,121.4172495,31.15698271,95
7375,8816,121.4127713,31.15468415,168
7367,105,121.4107012,31.15415115,105
1376,94,121.4182774,31.15571208,94
1377,8819,121.415955,31.15869116,171
7304,106,121.4092687,31.15870544,106
1366,93,121.415522,31.16022354,93
2346,108,121.4215658,31.16219373,108
1367,8814,121.4149718,31.16343981,166
1368,92,121.4147663,31.16467332,92
1389,8817,121.4144807,31.16644364,169
7377,107,121.4209149,31.16512637,107
1351,8815,121.4207009,31.16714758,167
7331,25,121.4075896,31.16622536,25
7329,26,121.4140665,31.16872856,26
7330,8812,121.4099191,31.16675789,164
1358,27,121.4204496,31.16955042,27
1371,8811,121.4232822,31.16989306,163
1372,28,121.4261261,31.1701272,28
377,7,121.4300094,31.17029281,7
314,29,121.4336871,31.17089815,29
2357,8813,121.436451,31.17161199,165
381,30,121.4401973,31.17259423,30
2354,8810,121.4419904,31.17309106,162
2353,60,121.4465933,31.17426747,60
382,61,121.4442404,31.17527255,61
380,31,121.4403058,31.17627192,31
315,16,121.4362897,31.17965694,16
309,4,121.4314927,31.18210113,4
1300,5,121.4312338,31.18008334,5
397,15,121.4280592,31.18301589,15
391,8838,121.4245204,31.18374914,190
313,14,121.4219963,31.18448582,14
1321,8837,121.4184043,31.18870604,189
312,13,121.4167424,31.1910874,13
2364,8839,121.4126821,31.18983104,191
1365,91,121.4089245,31.1886318,91
1373,89,121.4097839,31.18256417,89
1326,90,121.4160733,31.18222914,90
1370,76,121.4202003,31.18107939,76
1369,8835,121.4235353,31.17865043,187
2356,8834,121.4265582,31.17634711,186
7396,85,121.4251343,31.17579889,85
311,6,121.430746,31.1763909,6
7366,86,121.4330075,31.17619293,86
7326,8836,121.4304986,31.17399526,188
7365,8831,121.4355278,31.17495085,183
7395,84,121.4193665,31.17361073,84
7334,83,121.4131609,31.17237817,83
7339,78,121.4117142,31.17627573,78
7325,77,121.4170013,31.17771293,77
7324,8833,121.4189001,31.17915964,185
1374,8832,121.4105815,31.17927385,184
7368,104,121.4120892,31.15129615,104
2384,32,121.4447268,31.16051723,32
1388,33,121.445512,31.15880401,33
1387,34,121.4456276,31.15549866,34
1386,8829,121.4458424,31.1520091,181
1385,35,121.4461964,31.14639547,35
2361,36,121.4486435,31.13753151,36
2358,8830,121.4471128,31.141221,182
2362,37,121.4514223,31.12912782,37
,72,121.437532,31.1917306,72
,62,121.4385822,31.1870507,62
,17,121.4401499,31.1824467,17
,3,121.4317225,31.1843959,3
,1,121.4327372,31.1909104,1
,2,121.4321943,31.18773455,2
,113,121.4178686,31.19730855,113
,112,121.4234367,31.1957623,112
,73,121.4272428,31.1942784,73
,74,121.4258389,31.1918384,74
,75,121.4235741,31.1877548,75
,111,121.4219355,31.1941142,111
,110,121.4199953,31.19256865,110
,114,121.4250866,31.20184715,114
,50,121.4533246,31.17247255,50
,45,121.4581359,31.17296725,45
,51,121.4540024,31.16835735,51
,52,121.4543573,31.1663178,52
,46,121.4583861,31.1688532,46
,47,121.4581856,31.1667883,47
,53,121.4547706,31.1636364,53
,48,121.458832,31.1654415,48
,54,121.4555069,31.15952849,54
,49,121.4523501,31.1521432,49
,8,121.4292121,31.16518395,8
,103,121.4044999,31.1485624,103
,88,121.4034119,31.1814532,88
,87,121.3963172,31.1794152,87
,55,121.3931525,31.1785035,55
,79,121.3980132,31.1735383,79
,82,121.4060849,31.1710169,82
,81,121.3991081,31.1696828,81
,24,121.4005994,31.1649062,24
,23,121.3980991,31.16400615,23
,80,121.3929642,31.1725289,80
,12,121.4068226,31.142556,12
,96,121.4304244,31.15499285,96
,97,121.4238046,31.1485838,97
,41,121.4408209,31.1286324,41
,42,121.4383685,31.1347469,42
,98,121.4339118,31.14427775,98
,99,121.4358744,31.14045735,99
,100,121.4278337,31.1379976,100
,101,121.4236214,31.1369265,101
,102,121.41701,31.1346556,102
,38,121.452072,31.1265042,38
,39,121.4523179,31.12193235,39
,40,121.4519652,31.11764195,40
,8883,121.4603001,31.18987294,235
,8882,121.4558572,31.1847518,234
,88122,121.454056,31.18272435,274
,8880,121.4413154,31.1930196,232
,8887,121.4411396,31.1910608,239
,8886,121.4417712,31.1894461,238
,8885,121.4573015,31.17919349,237
,8884,121.4515693,31.18043164,236
,8875,121.4523401,31.17829142,227
,8874,121.4476995,31.18261035,226
,8873,121.4435813,31.18520106,225
,8872,121.4450084,31.1817825,224
,8879,121.4381587,31.1880453,231
,8878,121.4528462,31.17549737,230
,8877,121.4291963,31.1908831,229
,8876,121.4283607,31.1890127,228
,8867,121.426406,31.18530386,219
,8866,121.4249857,31.1902701,218
,8865,121.4196739,31.1893801,217
,8864,121.421503,31.19037513,216
,8871,121.4239837,31.1928278,223
,8870,121.4180526,31.1916754,222
,8869,121.4263793,31.167439,221
,8868,121.4295733,31.16740898,220
,8859,121.426486,31.1653406,211
,8858,121.426342,31.1631989,210
,8857,121.4268811,31.162228,209
,8856,121.4306995,31.1597115,208
,8863,121.4301211,31.1649878,215
,8862,121.4319384,31.1614305,214
,8861,121.434219,31.1660861,213
,886,121.4344469,31.16411659,158
,8851,121.4378239,31.1665804,203
,8850,121.4421293,31.1628533,202
,8849,121.4393667,31.15919625,201
,8848,121.4344875,31.1575117,200
,8855,121.4083396,31.1439936,207
,8854,121.4058099,31.14548888,206
,8853,121.4073381,31.1462859,205
,8852,121.406097,31.1490763,204
,8843,121.4080138,31.1496907,195
,8842,121.4065812,31.1531126,194
,8841,121.4046022,31.152504,193
,8840,121.4045997,31.15758,192
,8847,121.4025667,31.15710159,199
,8846,121.3986264,31.1660489,198
,8845,121.3980489,31.1673471,197
,8844,121.39967,31.1676919,196
,8889,121.4020984,31.1681463,241
,885,121.406575,31.1690621,157
,884,121.3971768,31.1693075,156
,883,121.4016938,31.1701623,155
,889,121.4033477,31.1704859,161
,88123,121.4088023,31.1715444,275
,888,121.4077068,31.1755177,160
,887,121.4048181,31.1749498,159
,88121,121.4009485,31.1741145,273
,88120,121.3955167,31.1730391,272
,88119,121.3940737,31.1762825,271
,88118,121.397071,31.176813,270
,882,121.4002455,31.1773966,154
,881,121.4042288,31.1781256,153
,8860,121.4066921,31.1785519,212
,88107,121.4055341,31.1820658,259
,88113,121.3998928,31.179079,265
,88112,121.3996217,31.1803722,264
,88111,121.3966116,31.1783991,263
,88110,121.393455,31.1726355,262
,88117,121.3916639,31.17807184,269
,88116,121.4023677,31.1744209,268
,88115,121.3951732,31.16892538,267
,88114,121.4038651,31.1684971,266
,88105,121.4026479,31.1652867,257
,88104,121.3971816,31.16564658,256
,88103,121.4011126,31.15670532,255
,88102,121.4089296,31.1475692,254
,88109,121.4392985,31.1350043,261
,88108,121.4372148,31.14093675,260
,7716,121.4445569,31.14422896,130
,88106,121.4419743,31.15990737,258
,8897,121.427111,31.1571107,249
,8896,121.4273753,31.16192284,248
,8895,121.4558277,31.1576008,247
,8894,121.4581067,31.18124022,246
,88101,121.4491111,31.17206085,253
,88100,121.4567248,31.18555928,252
,8899,121.4365759,31.1857828,251
,8898,121.4234405,31.1874744,250
,8891,121.4291034,31.18277325,243
,8890,121.428014,31.18282862,242
,8881,121.4279587,31.18256807,233
,8888,121.4270712,31.18320804,240
,8893,121.4255038,31.19508572,245
,8892,121.4230499,31.18659128,244
,9938,121.4306843,31.20408887,356
,9930,121.4197894,31.19499524,349
,9932,121.4128765,31.19619869,351
,9931,121.4088603,31.19289788,350
,9934,121.4043793,31.18731738,353
,9933,121.3998819,31.18652503,352
,9936,121.3905549,31.1771629,355
,9935,121.3897926,31.1714783,354
,9922,121.3942332,31.1626641,344
,9921,121.3999163,31.1476048,343
,9924,121.3997197,31.13554012,345
,88135,121.414258,31.13350274,287
,9925,121.4299053,31.13589431,346
,9928,121.4356337,31.13409533,348
,9927,121.4370822,31.12815493,347
,9914,121.4424189,31.12588054,336
,9913,121.4509886,31.11417271,335
,9916,121.4491963,31.15893612,338
,9915,121.4530621,31.15923632,337
,9918,121.4599078,31.16384954,340
,9917,121.4525736,31.1658572,339
,9920,121.4510101,31.16787044,342
,9919,121.4613793,31.18741698,341
,996,121.4632642,31.19538346,328
,995,121.4610537,31.19648829,327
,998,121.4586917,31.200464,330
,997,121.456944,31.2021564,329
,9910,121.4527758,31.20064563,332
,9912,121.4468265,31.19798358,334
,992,121.4376439,31.1932077,324
,991,121.4334798,31.19334518,323
,994,121.4293694,31.19456551,326
,993,121.428534,31.19650733,325
,88130,121.4590262,31.12753902,282
,88131,121.4505967,31.14198387,283
,88132,121.4463061,31.14475557,284
,88133,121.4460787,31.14827024,285
,88124,121.4501676,31.14790555,276
,88125,121.4476147,31.14834032,277
,88126,121.4508555,31.15551555,278
,88127,121.4475833,31.15551269,279
,88128,121.4466651,31.15190005,280
,88129,121.4512817,31.15339888,281
,88134,121.4563337,31.15648316,286
,88136,121.4169916,31.19741971,288
,88137,121.4288341,31.18187657,289
,88138,121.4289632,31.18197431,290
,771,121.3912127,31.17957347,115
,772,121.3956038,31.16784564,116
,773,121.3965463,31.1672017,117
,774,121.3998316,31.16025549,118
,775,121.3993736,31.16040192,119
,776,121.4026402,31.1536885,120
,777,121.4021896,31.15354958,121
,778,121.4033798,31.13938681,122
,779,121.4034399,31.13904513,123
,7710,121.4126202,31.14812027,124
,7711,121.4128229,31.14783491,125
,7712,121.4100219,31.13761083,126
,7713,121.4104199,31.13794876,127
,7714,121.4405038,31.14204203,128
,7715,121.4405815,31.1428449,129
,88139,121.4463225,31.1444369,291
,7717,121.4072499,31.14268558,131
,88140,121.3962735,31.16707988,292
,88141,121.3965769,31.16675978,293
,88142,121.3991451,31.16130707,294
,88143,121.3992865,31.1613294,295
,88144,121.4026437,31.15286559,296
,88145,121.4028149,31.15279859,297
,88146,121.4126559,31.13501491,298
,88147,121.4128271,31.13520846,299
,88170,121.440113,31.1422728,322
,88148,121.4394952,31.14181127,300
,7718,121.3989779,31.13479345,132
,88149,121.4005579,31.13630644,301
,88150,121.4005467,31.13646277,302
,88151,121.4112903,31.14654192,303
,88152,121.4111786,31.14668336,304
,88153,121.4185854,31.15359882,305
,7719,121.4165755,31.15215469,133
,7720,121.4168025,31.1511423,134
,88154,121.4186087,31.15333401,306
,88155,121.4256237,31.16003042,307
,7721,121.4266137,31.1607376,135
,7722,121.4268668,31.16176487,136
,88156,121.4258842,31.16055894,308
,88157,121.4303543,31.17179936,309
,7723,121.4309573,31.17377574,137
,88158,121.4307861,31.17807092,310
,7724,121.4308456,31.18017012,138
,7725,121.431389,31.18216139,139
,7726,121.4122279,31.19704177,140
,7727,121.4130583,31.19535878,141
,88159,121.4146164,31.19370887,311
,7728,121.4136389,31.19561601,142
,88160,121.4150867,31.19345532,312
,88161,121.4174036,31.18992216,313
,7729,121.418539,31.18789192,143
,7730,121.4191049,31.18823733,144
,88162,121.4176185,31.19003791,314
,7731,121.4278102,31.1825196,145
,88163,121.4301785,31.1808605,315
,7732,121.4353468,31.17969931,146
,88164,121.4381065,31.17887252,316
,88165,121.4395378,31.18208415,317
,7733,121.4370702,31.18060695,147
,88166,121.4472343,31.18750424,318
,7734,121.4500491,31.18809219,148
,7735,121.4503724,31.18877567,149
,88167,121.4474474,31.18778352,319
,88168,121.462936,31.19530366,320
,7736,121.4614901,31.19466611,150
,7737,121.4616848,31.19435745,151
,88169,121.4629452,31.19511075,321
,7738,121.4637867,31.19561417,152
,9939,121.4433421,31.12540691,357
,9940,121.4567615,31.12243773,358
,9941,121.4486289,31.12159589,359
,9942,121.4557668,31.11811013,360
,9943,121.4485147,31.11747901,361
,9944,121.4288502,31.14509785,362
,9945,121.4228527,31.13882192,363
,9946,121.4253673,31.1327102,364
,9947,121.4154329,31.13749132,365
,9948,121.4188158,31.13148109,366
,9949,121.4254401,31.20374739,367
,9950,121.436755,31.17790767,368
,9951,121.4411769,31.15418016,369
